"","Timestamp","How old are you?","Please indicate your sex","Which province or territory do you live in?","What is your highest education level?","Have you been following the election?","How much do you value the alignment between you and the candidate's policies?","How's your satisfaction with the current Canadian government?","How would you rate the current government's response on combating COVID-19?","In your opinion, what is the most important issue facing in Canada today?","If the Federal Election were being held today, who would you vote for?"
"305",2020-10-07 16:00:03,"65+","Male","Saskatchewan","University certificate or diploma below bachelor level","Yes",10,"Somewhat Satisfied",5,"Foreign Affairs","Yves-Francois Blanchet's Bloc Québécois"
"306",2020-10-07 16:00:08,"25-34","Female","Quebec","Secondary (high) school diploma or equivalency certificate","No",10,"Somewhat Satisfied",3,"Health Care","Jagmeet Singh's New Democratic Party of Canada"
"307",2020-10-07 16:00:03,"65+","Female","Ontario","Secondary (high) school diploma or equivalency certificate","Yes",9,"Somewhat Dissatisfied",7,"The Economy/Jobs","Yves-Francois Blanchet's Bloc Québécois"
"308",2020-10-07 16:00:00,"65+","Female","New Brunswick","Secondary (high) school diploma or equivalency certificate","No",9,"Somewhat Satisfied",5,"Housing/Homelessness/Proverty","Justin Trudeau's Liberal Party of Canada"
"309",2020-10-07 16:00:06,"35-44","Female","Ontario","University certificate, diploma or degree at bachelor level or above","No",10,"Very Satisfied",10,"Housing/Homelessness/Proverty","Erin O’Toole's Conservative Party of Canada"
"310",2020-10-07 16:00:05,"25-34","Male","Nova Scotia","College, CEGEP or other non-university certificate or diploma","Yes",6,"Somewhat Dissatisfied",8,"Environment","Jagmeet Singh's New Democratic Party of Canada"
"311",2020-10-07 16:00:19,"18-24","Male","Alberta","No certificate, diploma or degree","Yes",7,"Somewhat Satisfied",7,"The Economy/Jobs","Annamie Paul's Green Party of Canada"
"312",2020-10-07 16:00:04,"35-44","Male","Quebec","Secondary (high) school diploma or equivalency certificate","No",10,"Somewhat Satisfied",4,"The Economy/Jobs","Erin O’Toole's Conservative Party of Canada"
"313",2020-10-07 16:00:10,"25-34","Male","New Brunswick","Secondary (high) school diploma or equivalency certificate","Yes",8,"Very Dissatisfied",7,"The Economy/Jobs","Justin Trudeau's Liberal Party of Canada"
"314",2020-10-07 16:00:16,"65+","Female","British Columbia","University certificate, diploma or degree at bachelor level or above","Yes",9,"Somewhat Satisfied",10,"The Economy/Jobs","Jagmeet Singh's New Democratic Party of Canada"
"315",2020-10-07 16:00:00,"45-54","Female","Quebec","College, CEGEP or other non-university certificate or diploma","No",9,"Somewhat Satisfied",8,"The Economy/Jobs","Erin O’Toole's Conservative Party of Canada"
"316",2020-10-07 16:00:10,"25-34","Male","Ontario","University certificate, diploma or degree at bachelor level or above","Yes",10,"Somewhat Satisfied",7,"Housing/Homelessness/Proverty","Justin Trudeau's Liberal Party of Canada"
"317",2020-10-07 16:00:00,"25-34","Female","Alberta","Secondary (high) school diploma or equivalency certificate","Yes",10,"Somewhat Dissatisfied",8,"The Economy/Jobs","Justin Trudeau's Liberal Party of Canada"
"318",2020-10-07 16:00:05,"55-64","Female","Alberta","Apprenticeship or trades certificate or diploma","Yes",8,"Very Dissatisfied",9,"Foreign Affairs","Justin Trudeau's Liberal Party of Canada"
"319",2020-10-07 16:00:03,"25-34","Female","Alberta","Secondary (high) school diploma or equivalency certificate","No",10,"Somewhat Satisfied",8,"Health Care","Justin Trudeau's Liberal Party of Canada"
"320",2020-10-07 16:00:13,"65+","Male","Quebec","No certificate, diploma or degree","No",4,"Somewhat Dissatisfied",6,"Health Care","Erin O’Toole's Conservative Party of Canada"
"321",2020-10-07 16:00:18,"65+","Male","Ontario","College, CEGEP or other non-university certificate or diploma","Yes",10,"Somewhat Satisfied",3,"Health Care","Justin Trudeau's Liberal Party of Canada"
"322",2020-10-07 16:00:00,"45-54","Male","Nova Scotia","College, CEGEP or other non-university certificate or diploma","Yes",10,"Somewhat Satisfied",8,"Health Care","Jagmeet Singh's New Democratic Party of Canada"
"323",2020-10-07 16:00:19,"18-24","Female","Quebec","Secondary (high) school diploma or equivalency certificate","Yes",10,"Somewhat Dissatisfied",4,"Accountability/Leadership","Justin Trudeau's Liberal Party of Canada"
"324",2020-10-07 16:00:19,"35-44","Male","Ontario","College, CEGEP or other non-university certificate or diploma","No",7,"Somewhat Satisfied",8,"Health Care","Justin Trudeau's Liberal Party of Canada"
"325",2020-10-07 16:00:03,"55-64","Female","British Columbia","Apprenticeship or trades certificate or diploma","No",10,"Very Dissatisfied",8,"The Economy/Jobs","Justin Trudeau's Liberal Party of Canada"
"326",2020-10-07 16:00:19,"35-44","Female","Ontario","No certificate, diploma or degree","Yes",10,"Very Satisfied",7,"Health Care","Justin Trudeau's Liberal Party of Canada"
"327",2020-10-07 16:00:15,"65+","Female","Alberta","Secondary (high) school diploma or equivalency certificate","Yes",8,"Somewhat Dissatisfied",10,"Foreign Affairs","Jagmeet Singh's New Democratic Party of Canada"
"328",2020-10-07 16:00:04,"65+","Female","Quebec","Secondary (high) school diploma or equivalency certificate","No",10,"Somewhat Satisfied",4,"The Economy/Jobs","Justin Trudeau's Liberal Party of Canada"
"329",2020-10-07 16:00:17,"55-64","Male","Ontario","Secondary (high) school diploma or equivalency certificate","Yes",8,"Somewhat Satisfied",8,"Housing/Homelessness/Proverty","Justin Trudeau's Liberal Party of Canada"
"330",2020-10-07 16:00:01,"45-54","Male","Quebec","Secondary (high) school diploma or equivalency certificate","No",10,"Somewhat Satisfied",7,"Health Care","Yves-Francois Blanchet's Bloc Québécois"
"331",2020-10-07 16:00:02,"65+","Female","Ontario","No certificate, diploma or degree","Yes",10,"Somewhat Satisfied",8,"The Economy/Jobs","Justin Trudeau's Liberal Party of Canada"
"332",2020-10-07 16:00:15,"35-44","Female","Quebec","No certificate, diploma or degree","No",10,"Somewhat Dissatisfied",8,"Health Care","Erin O’Toole's Conservative Party of Canada"
"333",2020-10-07 16:00:00,"65+","Male","Alberta","No certificate, diploma or degree","Yes",8,"Somewhat Satisfied",9,"Health Care","Jagmeet Singh's New Democratic Party of Canada"
"334",2020-10-07 16:00:14,"45-54","Male","Ontario","Apprenticeship or trades certificate or diploma","Yes",9,"Somewhat Satisfied",8,"The Economy/Jobs","Justin Trudeau's Liberal Party of Canada"
"335",2020-10-07 16:00:03,"55-64","Female","Ontario","College, CEGEP or other non-university certificate or diploma","Yes",9,"Somewhat Dissatisfied",6,"Health Care","Justin Trudeau's Liberal Party of Canada"
"336",2020-10-07 16:00:18,"45-54","Female","Quebec","University certificate, diploma or degree at bachelor level or above","No",10,"Somewhat Dissatisfied",7,"Health Care","Yves-Francois Blanchet's Bloc Québécois"
"337",2020-10-07 16:00:04,"65+","Female","Ontario","Secondary (high) school diploma or equivalency certificate","Yes",9,"Somewhat Satisfied",8,"Environment","Jagmeet Singh's New Democratic Party of Canada"
"338",2020-10-07 16:00:17,"35-44","Male","British Columbia","University certificate, diploma or degree at bachelor level or above","Yes",9,"Somewhat Dissatisfied",5,"The Economy/Jobs","Jagmeet Singh's New Democratic Party of Canada"
"339",2020-10-07 16:00:06,"25-34","Male","Alberta","No certificate, diploma or degree","No",9,"Somewhat Dissatisfied",6,"The Economy/Jobs","Justin Trudeau's Liberal Party of Canada"
"340",2020-10-07 16:00:14,"65+","Female","Quebec","College, CEGEP or other non-university certificate or diploma","No",10,"Somewhat Dissatisfied",6,"Health Care","Justin Trudeau's Liberal Party of Canada"
"341",2020-10-07 16:00:19,"45-54","Male","Ontario","College, CEGEP or other non-university certificate or diploma","Yes",9,"Very Satisfied",7,"Housing/Homelessness/Proverty","Jagmeet Singh's New Democratic Party of Canada"
"342",2020-10-07 16:00:06,"45-54","Male","Ontario","University certificate, diploma or degree at bachelor level or above","No",9,"Very Dissatisfied",9,"The Economy/Jobs","Jagmeet Singh's New Democratic Party of Canada"
"343",2020-10-07 16:00:10,"55-64","Male","Quebec","No certificate, diploma or degree","Yes",8,"Very Dissatisfied",9,"Health Care","Justin Trudeau's Liberal Party of Canada"
"344",2020-10-07 16:00:07,"25-34","Female","British Columbia","University certificate, diploma or degree at bachelor level or above","Yes",10,"Somewhat Satisfied",7,"Accountability/Leadership","Erin O’Toole's Conservative Party of Canada"
"345",2020-10-07 16:00:11,"25-34","Female","Ontario","Secondary (high) school diploma or equivalency certificate","Yes",8,"Somewhat Satisfied",7,"Housing/Homelessness/Proverty","Justin Trudeau's Liberal Party of Canada"
"346",2020-10-07 16:00:16,"45-54","Male","Ontario","College, CEGEP or other non-university certificate or diploma","Yes",9,"Somewhat Satisfied",7,"The Economy/Jobs","Erin O’Toole's Conservative Party of Canada"
"347",2020-10-07 16:00:09,"55-64","Male","Quebec","University certificate or diploma below bachelor level","No",10,"Somewhat Satisfied",7,"Environment","Erin O’Toole's Conservative Party of Canada"
"348",2020-10-07 16:00:03,"65+","Female","Ontario","Secondary (high) school diploma or equivalency certificate","No",10,"Somewhat Satisfied",6,"Environment","Annamie Paul's Green Party of Canada"
"349",2020-10-07 16:00:04,"45-54","Male","Alberta","Apprenticeship or trades certificate or diploma","Yes",8,"Somewhat Dissatisfied",9,"Accountability/Leadership","Erin O’Toole's Conservative Party of Canada"
"350",2020-10-07 16:00:03,"65+","Female","Ontario","Secondary (high) school diploma or equivalency certificate","No",9,"Very Dissatisfied",6,"Health Care","Jagmeet Singh's New Democratic Party of Canada"
"351",2020-10-07 16:00:03,"25-34","Male","Manitoba","University certificate, diploma or degree at bachelor level or above","Yes",10,"Somewhat Dissatisfied",9,"Energy/Piplines","Justin Trudeau's Liberal Party of Canada"
"352",2020-10-07 16:00:19,"35-44","Male","New Brunswick","Secondary (high) school diploma or equivalency certificate","Yes",9,"Somewhat Satisfied",10,"The Economy/Jobs","Erin O’Toole's Conservative Party of Canada"
"353",2020-10-07 16:00:18,"45-54","Male","British Columbia","Secondary (high) school diploma or equivalency certificate","No",8,"Somewhat Satisfied",7,"The Economy/Jobs","Erin O’Toole's Conservative Party of Canada"
"354",2020-10-07 16:00:07,"65+","Female","Ontario","Secondary (high) school diploma or equivalency certificate","No",9,"Somewhat Dissatisfied",8,"Accountability/Leadership","Justin Trudeau's Liberal Party of Canada"
"355",2020-10-07 16:00:07,"65+","Male","Quebec","University certificate, diploma or degree at bachelor level or above","No",8,"Somewhat Satisfied",10,"The Economy/Jobs","Jagmeet Singh's New Democratic Party of Canada"
"356",2020-10-07 16:00:02,"45-54","Male","Saskatchewan","College, CEGEP or other non-university certificate or diploma","No",9,"Very Dissatisfied",5,"Health Care","Erin O’Toole's Conservative Party of Canada"
"357",2020-10-07 16:00:12,"65+","Female","Ontario","Apprenticeship or trades certificate or diploma","No",9,"Very Dissatisfied",9,"Housing/Homelessness/Proverty","Annamie Paul's Green Party of Canada"
"358",2020-10-07 16:00:08,"45-54","Female","Ontario","University certificate, diploma or degree at bachelor level or above","No",8,"Somewhat Satisfied",8,"Health Care","Erin O’Toole's Conservative Party of Canada"
"359",2020-10-07 16:00:02,"35-44","Female","Quebec","College, CEGEP or other non-university certificate or diploma","Yes",8,"Somewhat Satisfied",7,"Health Care","Yves-Francois Blanchet's Bloc Québécois"
"360",2020-10-07 16:00:12,"25-34","Male","Ontario","Apprenticeship or trades certificate or diploma","No",3,"Somewhat Satisfied",6,"Health Care","Justin Trudeau's Liberal Party of Canada"
"361",2020-10-07 16:00:16,"25-34","Male","Alberta","College, CEGEP or other non-university certificate or diploma","No",10,"Somewhat Dissatisfied",8,"Foreign Affairs","Justin Trudeau's Liberal Party of Canada"
"362",2020-10-07 16:00:03,"45-54","Male","Ontario","University certificate, diploma or degree at bachelor level or above","Yes",9,"Somewhat Satisfied",9,"Health Care","Yves-Francois Blanchet's Bloc Québécois"
"363",2020-10-07 16:00:06,"55-64","Female","New Brunswick","University certificate, diploma or degree at bachelor level or above","Yes",9,"Very Dissatisfied",8,"The Economy/Jobs","Erin O’Toole's Conservative Party of Canada"
"364",2020-10-07 16:00:07,"25-34","Male","New Brunswick","College, CEGEP or other non-university certificate or diploma","Yes",10,"Somewhat Satisfied",8,"Foreign Affairs","Erin O’Toole's Conservative Party of Canada"
"365",2020-10-07 16:00:11,"25-34","Male","Quebec","Apprenticeship or trades certificate or diploma","No",7,"Somewhat Satisfied",5,"Health Care","Yves-Francois Blanchet's Bloc Québécois"
"366",2020-10-07 16:00:03,"25-34","Female","Ontario","Apprenticeship or trades certificate or diploma","Yes",9,"Somewhat Satisfied",3,"Health Care","Erin O’Toole's Conservative Party of Canada"
"367",2020-10-07 16:00:08,"18-24","Female","Ontario","Apprenticeship or trades certificate or diploma","Yes",4,"Somewhat Satisfied",7,"Housing/Homelessness/Proverty","Justin Trudeau's Liberal Party of Canada"
"368",2020-10-07 16:00:15,"65+","Female","Quebec","University certificate, diploma or degree at bachelor level or above","Yes",9,"Somewhat Satisfied",7,"Health Care","Justin Trudeau's Liberal Party of Canada"
"369",2020-10-07 16:00:00,"65+","Male","Ontario","College, CEGEP or other non-university certificate or diploma","No",6,"Somewhat Satisfied",6,"The Economy/Jobs","Justin Trudeau's Liberal Party of Canada"
"370",2020-10-07 16:00:08,"55-64","Female","Quebec","Secondary (high) school diploma or equivalency certificate","Yes",9,"Very Dissatisfied",10,"Accountability/Leadership","Justin Trudeau's Liberal Party of Canada"
"371",2020-10-07 16:00:18,"25-34","Female","Ontario","Apprenticeship or trades certificate or diploma","No",9,"Somewhat Satisfied",9,"The Economy/Jobs","Erin O’Toole's Conservative Party of Canada"
"372",2020-10-07 16:00:05,"45-54","Female","Quebec","No certificate, diploma or degree","Yes",10,"Somewhat Satisfied",3,"Environment","Justin Trudeau's Liberal Party of Canada"
"373",2020-10-07 16:00:16,"45-54","Male","Nova Scotia","College, CEGEP or other non-university certificate or diploma","No",10,"Somewhat Satisfied",6,"The Economy/Jobs","Justin Trudeau's Liberal Party of Canada"
"374",2020-10-07 16:00:05,"18-24","Female","Ontario","University certificate, diploma or degree at bachelor level or above","Yes",9,"Somewhat Dissatisfied",6,"The Economy/Jobs","Yves-Francois Blanchet's Bloc Québécois"
"375",2020-10-07 16:00:04,"18-24","Male","Ontario","Secondary (high) school diploma or equivalency certificate","No",10,"Somewhat Satisfied",8,"Housing/Homelessness/Proverty","Jagmeet Singh's New Democratic Party of Canada"
"376",2020-10-07 16:00:15,"25-34","Female","Nova Scotia","College, CEGEP or other non-university certificate or diploma","No",8,"Somewhat Satisfied",3,"The Economy/Jobs","Erin O’Toole's Conservative Party of Canada"
"377",2020-10-07 16:00:11,"65+","Male","Ontario","University certificate, diploma or degree at bachelor level or above","Yes",4,"Somewhat Satisfied",8,"Environment","Others"
"378",2020-10-07 16:00:11,"65+","Female","Manitoba","Secondary (high) school diploma or equivalency certificate","Yes",9,"Somewhat Dissatisfied",7,"Health Care","Jagmeet Singh's New Democratic Party of Canada"
"379",2020-10-07 16:00:02,"35-44","Female","British Columbia","University certificate, diploma or degree at bachelor level or above","Yes",9,"Somewhat Dissatisfied",8,"The Economy/Jobs","Jagmeet Singh's New Democratic Party of Canada"
"380",2020-10-07 16:00:07,"35-44","Female","Manitoba","College, CEGEP or other non-university certificate or diploma","Yes",8,"Somewhat Dissatisfied",9,"The Economy/Jobs","Erin O’Toole's Conservative Party of Canada"
"381",2020-10-07 16:00:15,"45-54","Male","Ontario","University certificate, diploma or degree at bachelor level or above","No",10,"Somewhat Satisfied",6,"Accountability/Leadership","Jagmeet Singh's New Democratic Party of Canada"
"382",2020-10-07 16:00:12,"45-54","Female","Quebec","Secondary (high) school diploma or equivalency certificate","Yes",8,"Very Dissatisfied",9,"Environment","Others"
"383",2020-10-07 16:00:14,"65+","Male","Saskatchewan","University certificate, diploma or degree at bachelor level or above","No",8,"Somewhat Dissatisfied",9,"Housing/Homelessness/Proverty","Erin O’Toole's Conservative Party of Canada"
"384",2020-10-07 16:00:02,"25-34","Female","Ontario","University certificate, diploma or degree at bachelor level or above","Yes",5,"Somewhat Dissatisfied",9,"Crime/Public Safety","Erin O’Toole's Conservative Party of Canada"
"385",2020-10-07 16:00:00,"65+","Male","Quebec","University certificate, diploma or degree at bachelor level or above","Yes",7,"No Opinion",10,"Environment","Annamie Paul's Green Party of Canada"
"386",2020-10-07 16:00:08,"35-44","Male","Alberta","No certificate, diploma or degree","No",6,"Somewhat Satisfied",7,"Health Care","Justin Trudeau's Liberal Party of Canada"
"387",2020-10-07 16:00:01,"55-64","Male","Quebec","University certificate, diploma or degree at bachelor level or above","Yes",4,"Very Satisfied",10,"Health Care","Justin Trudeau's Liberal Party of Canada"
"388",2020-10-07 16:00:17,"65+","Female","Quebec","University certificate, diploma or degree at bachelor level or above","No",6,"Somewhat Dissatisfied",6,"Health Care","Erin O’Toole's Conservative Party of Canada"
"389",2020-10-07 16:00:03,"35-44","Female","British Columbia","College, CEGEP or other non-university certificate or diploma","Yes",10,"Somewhat Satisfied",5,"Crime/Public Safety","Yves-Francois Blanchet's Bloc Québécois"
"390",2020-10-07 16:00:15,"65+","Male","Nunavut","College, CEGEP or other non-university certificate or diploma","No",8,"Somewhat Satisfied",7,"Housing/Homelessness/Proverty","Justin Trudeau's Liberal Party of Canada"
"391",2020-10-07 16:00:10,"45-54","Male","Northwest Territories","University certificate, diploma or degree at bachelor level or above","Yes",9,"Somewhat Satisfied",7,"Health Care","Yves-Francois Blanchet's Bloc Québécois"
"392",2020-10-07 16:00:11,"55-64","Male","Quebec","Secondary (high) school diploma or equivalency certificate","Yes",10,"Somewhat Satisfied",8,"Accountability/Leadership","Jagmeet Singh's New Democratic Party of Canada"
"393",2020-10-07 16:00:02,"18-24","Female","Ontario","College, CEGEP or other non-university certificate or diploma","No",9,"Somewhat Dissatisfied",5,"Environment","Justin Trudeau's Liberal Party of Canada"
"394",2020-10-07 16:00:08,"18-24","Female","Quebec","No certificate, diploma or degree","No",9,"Somewhat Dissatisfied",6,"The Economy/Jobs","Erin O’Toole's Conservative Party of Canada"
"395",2020-10-07 16:00:14,"65+","Male","Ontario","University certificate, diploma or degree at bachelor level or above","Yes",10,"No Opinion",6,"The Economy/Jobs","Justin Trudeau's Liberal Party of Canada"
"396",2020-10-07 16:00:15,"25-34","Male","Quebec","Apprenticeship or trades certificate or diploma","Yes",8,"Very Dissatisfied",9,"Accountability/Leadership","Justin Trudeau's Liberal Party of Canada"
"397",2020-10-07 16:00:09,"55-64","Male","British Columbia","Apprenticeship or trades certificate or diploma","Yes",9,"Somewhat Dissatisfied",2,"Accountability/Leadership","Justin Trudeau's Liberal Party of Canada"
"398",2020-10-07 16:00:10,"65+","Male","Ontario","Apprenticeship or trades certificate or diploma","Yes",10,"Very Satisfied",7,"Environment","Erin O’Toole's Conservative Party of Canada"
"399",2020-10-07 16:00:10,"45-54","Male","Ontario","University certificate, diploma or degree at bachelor level or above","Yes",9,"Somewhat Dissatisfied",6,"Health Care","Jagmeet Singh's New Democratic Party of Canada"
"400",2020-10-07 16:00:08,"35-44","Male","Alberta","University certificate, diploma or degree at bachelor level or above","Yes",8,"Very Dissatisfied",8,"Crime/Public Safety","Jagmeet Singh's New Democratic Party of Canada"
"401",2020-10-07 16:00:03,"55-64","Male","Quebec","Apprenticeship or trades certificate or diploma","No",9,"Somewhat Satisfied",7,"Health Care","Jagmeet Singh's New Democratic Party of Canada"
"402",2020-10-07 16:00:18,"25-34","Female","British Columbia","College, CEGEP or other non-university certificate or diploma","No",9,"Very Dissatisfied",6,"Environment","Erin O’Toole's Conservative Party of Canada"
"403",2020-10-07 16:00:14,"55-64","Male","Quebec","Secondary (high) school diploma or equivalency certificate","Yes",9,"Very Satisfied",7,"Health Care","Justin Trudeau's Liberal Party of Canada"
"404",2020-10-07 16:00:17,"65+","Male","Quebec","University certificate, diploma or degree at bachelor level or above","Yes",9,"Very Dissatisfied",7,"Accountability/Leadership","Justin Trudeau's Liberal Party of Canada"
"405",2020-10-07 16:00:11,"18-24","Male","Quebec","University certificate, diploma or degree at bachelor level or above","Yes",9,"Somewhat Satisfied",7,"The Economy/Jobs","Yves-Francois Blanchet's Bloc Québécois"
"406",2020-10-07 16:00:14,"45-54","Male","Ontario","Apprenticeship or trades certificate or diploma","Yes",10,"Somewhat Dissatisfied",6,"Accountability/Leadership","Erin O’Toole's Conservative Party of Canada"
"407",2020-10-07 16:00:10,"18-24","Male","Quebec","College, CEGEP or other non-university certificate or diploma","Yes",10,"Somewhat Satisfied",5,"Health Care","Justin Trudeau's Liberal Party of Canada"
"408",2020-10-07 16:00:06,"45-54","Male","British Columbia","College, CEGEP or other non-university certificate or diploma","No",10,"Somewhat Dissatisfied",9,"Environment","Justin Trudeau's Liberal Party of Canada"
"409",2020-10-07 16:00:08,"45-54","Female","Alberta","Apprenticeship or trades certificate or diploma","Yes",9,"Somewhat Satisfied",4,"The Economy/Jobs","Justin Trudeau's Liberal Party of Canada"
"410",2020-10-07 16:00:00,"18-24","Male","British Columbia","Secondary (high) school diploma or equivalency certificate","Yes",10,"Somewhat Satisfied",7,"The Economy/Jobs","Erin O’Toole's Conservative Party of Canada"
"411",2020-10-07 16:00:05,"55-64","Female","Ontario","Secondary (high) school diploma or equivalency certificate","Yes",9,"Somewhat Dissatisfied",4,"The Economy/Jobs","Justin Trudeau's Liberal Party of Canada"
"412",2020-10-07 16:00:01,"35-44","Female","Alberta","No certificate, diploma or degree","Yes",6,"Somewhat Dissatisfied",7,"Environment","Erin O’Toole's Conservative Party of Canada"
"413",2020-10-07 16:00:02,"45-54","Female","Quebec","College, CEGEP or other non-university certificate or diploma","Yes",9,"Very Satisfied",7,"Health Care","Jagmeet Singh's New Democratic Party of Canada"
"414",2020-10-07 16:00:19,"35-44","Male","Quebec","College, CEGEP or other non-university certificate or diploma","Yes",10,"Somewhat Dissatisfied",9,"The Economy/Jobs","Justin Trudeau's Liberal Party of Canada"
"415",2020-10-07 16:00:03,"35-44","Male","Alberta","Secondary (high) school diploma or equivalency certificate","No",5,"Very Dissatisfied",10,"Health Care","Erin O’Toole's Conservative Party of Canada"
"416",2020-10-07 16:00:08,"18-24","Female","Ontario","College, CEGEP or other non-university certificate or diploma","Yes",9,"No Opinion",9,"Housing/Homelessness/Proverty","Justin Trudeau's Liberal Party of Canada"
"417",2020-10-07 16:00:00,"45-54","Female","British Columbia","College, CEGEP or other non-university certificate or diploma","No",10,"Somewhat Dissatisfied",9,"The Economy/Jobs","Erin O’Toole's Conservative Party of Canada"
"418",2020-10-07 16:00:02,"55-64","Male","British Columbia","Apprenticeship or trades certificate or diploma","Yes",9,"Somewhat Satisfied",7,"The Economy/Jobs","Erin O’Toole's Conservative Party of Canada"
"419",2020-10-07 16:00:12,"55-64","Male","Quebec","Secondary (high) school diploma or equivalency certificate","Yes",8,"Somewhat Dissatisfied",9,"The Economy/Jobs","Jagmeet Singh's New Democratic Party of Canada"
"420",2020-10-07 16:00:05,"65+","Male","Quebec","Secondary (high) school diploma or equivalency certificate","Yes",8,"Somewhat Dissatisfied",4,"Energy/Piplines","Erin O’Toole's Conservative Party of Canada"
"421",2020-10-07 16:00:15,"65+","Male","Quebec","Secondary (high) school diploma or equivalency certificate","No",9,"Somewhat Satisfied",8,"The Economy/Jobs","Justin Trudeau's Liberal Party of Canada"
"422",2020-10-07 16:00:04,"65+","Female","Ontario","University certificate, diploma or degree at bachelor level or above","Yes",4,"Very Dissatisfied",9,"The Economy/Jobs","Justin Trudeau's Liberal Party of Canada"
"423",2020-10-07 16:00:02,"18-24","Female","Newfoundland and Labrador","University certificate, diploma or degree at bachelor level or above","Yes",10,"Somewhat Dissatisfied",8,"Environment","Yves-Francois Blanchet's Bloc Québécois"
"424",2020-10-07 16:00:08,"18-24","Female","Quebec","University certificate, diploma or degree at bachelor level or above","No",10,"Somewhat Dissatisfied",8,"The Economy/Jobs","Jagmeet Singh's New Democratic Party of Canada"
"425",2020-10-07 16:00:15,"18-24","Female","Quebec","Secondary (high) school diploma or equivalency certificate","Yes",9,"No Opinion",9,"The Economy/Jobs","Justin Trudeau's Liberal Party of Canada"
"426",2020-10-07 16:00:11,"65+","Female","Ontario","College, CEGEP or other non-university certificate or diploma","No",10,"Very Dissatisfied",6,"The Economy/Jobs","Others"
"427",2020-10-07 16:00:04,"18-24","Male","Quebec","University certificate, diploma or degree at bachelor level or above","Yes",5,"Somewhat Dissatisfied",8,"Accountability/Leadership","Justin Trudeau's Liberal Party of Canada"
"428",2020-10-07 16:00:07,"25-34","Male","Quebec","Apprenticeship or trades certificate or diploma","Yes",10,"Very Satisfied",10,"Health Care","Justin Trudeau's Liberal Party of Canada"
"429",2020-10-07 16:00:07,"45-54","Female","Quebec","College, CEGEP or other non-university certificate or diploma","Yes",10,"Somewhat Satisfied",9,"Health Care","Justin Trudeau's Liberal Party of Canada"
"430",2020-10-07 16:00:18,"45-54","Female","Alberta","University certificate, diploma or degree at bachelor level or above","Yes",10,"Very Dissatisfied",7,"The Economy/Jobs","Jagmeet Singh's New Democratic Party of Canada"
"431",2020-10-07 16:00:06,"65+","Male","Alberta","Secondary (high) school diploma or equivalency certificate","Yes",9,"Very Dissatisfied",8,"Foreign Affairs","Justin Trudeau's Liberal Party of Canada"
"432",2020-10-07 16:00:18,"45-54","Female","Ontario","Secondary (high) school diploma or equivalency certificate","No",10,"Somewhat Dissatisfied",4,"The Economy/Jobs","Justin Trudeau's Liberal Party of Canada"
"433",2020-10-07 16:00:00,"55-64","Male","Quebec","University certificate, diploma or degree at bachelor level or above","No",6,"Somewhat Dissatisfied",2,"Health Care","Yves-Francois Blanchet's Bloc Québécois"
"434",2020-10-07 16:00:01,"45-54","Male","Ontario","University certificate, diploma or degree at bachelor level or above","No",8,"Somewhat Satisfied",9,"The Economy/Jobs","Justin Trudeau's Liberal Party of Canada"
"435",2020-10-07 16:00:13,"65+","Male","Quebec","University certificate, diploma or degree at bachelor level or above","Yes",7,"Somewhat Dissatisfied",9,"The Economy/Jobs","Jagmeet Singh's New Democratic Party of Canada"
"436",2020-10-07 16:00:09,"65+","Male","Quebec","University certificate, diploma or degree at bachelor level or above","Yes",10,"Somewhat Satisfied",4,"The Economy/Jobs","Justin Trudeau's Liberal Party of Canada"
"437",2020-10-07 16:00:09,"25-34","Female","Ontario","University certificate, diploma or degree at bachelor level or above","Yes",10,"Somewhat Dissatisfied",9,"Housing/Homelessness/Proverty","Erin O’Toole's Conservative Party of Canada"
"438",2020-10-07 16:00:16,"55-64","Female","Ontario","College, CEGEP or other non-university certificate or diploma","No",9,"Somewhat Dissatisfied",9,"Housing/Homelessness/Proverty","Erin O’Toole's Conservative Party of Canada"
"439",2020-10-07 16:00:12,"25-34","Female","Saskatchewan","University certificate, diploma or degree at bachelor level or above","No",9,"Somewhat Satisfied",3,"Energy/Piplines","Justin Trudeau's Liberal Party of Canada"
"440",2020-10-07 16:00:03,"35-44","Female","Alberta","University certificate, diploma or degree at bachelor level or above","No",9,"Somewhat Dissatisfied",6,"Health Care","Justin Trudeau's Liberal Party of Canada"
"441",2020-10-07 16:00:19,"45-54","Female","Ontario","Secondary (high) school diploma or equivalency certificate","Yes",10,"Somewhat Dissatisfied",8,"Health Care","Erin O’Toole's Conservative Party of Canada"
"442",2020-10-07 16:00:04,"45-54","Female","Ontario","No certificate, diploma or degree","Yes",9,"Somewhat Dissatisfied",8,"Health Care","Justin Trudeau's Liberal Party of Canada"
"443",2020-10-07 16:00:11,"25-34","Female","British Columbia","College, CEGEP or other non-university certificate or diploma","Yes",10,"Somewhat Satisfied",8,"Housing/Homelessness/Proverty","Justin Trudeau's Liberal Party of Canada"
"444",2020-10-07 16:00:15,"65+","Male","Ontario","College, CEGEP or other non-university certificate or diploma","Yes",8,"Somewhat Satisfied",3,"Health Care","Justin Trudeau's Liberal Party of Canada"
"445",2020-10-07 16:00:19,"45-54","Male","Manitoba","University certificate, diploma or degree at bachelor level or above","Yes",4,"Very Satisfied",8,"The Economy/Jobs","Erin O’Toole's Conservative Party of Canada"
